Employed people,,
,Trend ('000),Seasonally adjusted ('000)
Sep-15,"11,815.40","11,783.60"
Oct-15,"11,847.60","11,861.00"
Nov-15,"11,878.20","11,894.10"
Dec-15,"11,903.60","11,909.70"
Jan-16,"11,921.50","11,911.10"
Feb-16,"11,934.30","11,928.30"
Mar-16,"11,944.00","11,942.10"
Apr-16,"11,953.20","11,948.40"
May-16,"11,961.70","11,942.10"
Jun-16,"11,968.00","11,962.50"
Jul-16,"11,971.60","11,995.40"
Aug-16,"11,973.40","11,955.90"
Sep-16,"11,974.40","11,942.10"
Oct-16,"11,976.30","11,961.50"
Nov-16,"11,980.90","11,987.80"
Dec-16,"11,990.40","12,019.80"
Jan-17,"12,008.40","12,034.10"
Feb-17,"12,035.30","12,017.90"
Mar-17,"12,070.80","12,076.20"
Apr-17,"12,113.50","12,133.00"
May-17,"12,158.30","12,165.00"
Jun-17,"12,201.50","12,197.10"
Jul-17,"12,240.60","12,231.00"
Aug-17,"12,275.00","12,282.30"
Sep-17,"12,305.50","12,321.50"
Oct-17,"12,333.70","12,326.10"
Nov-17,"12,360.60","12,368.60"
Dec-17,"12,385.10","12,400.70"
Jan-18,"12,405.30","12,429.50"
Feb-18,"12,420.50","12,425.90"
Mar-18,"12,433.60","12,442.90"
Apr-18,"12,448.60","12,460.30"
May-18,"12,469.50","12,452.40"
Jun-18,"12,497.40","12,521.90"
Jul-18,"12,529.40","12,519.80"
Aug-18,"12,562.70","12,586.70"
Sep-18,"12,595.00","12,601.30"
Oct-18,"12,623.80","12,625.70"
Nov-18,"12,649.00","12,644.50"
Dec-18,"12,673.20","12,673.80"
Jan-19,"12,699.50","12,715.30"
Feb-19,"12,728.00","12,730.50"
Mar-19,"12,757.20","12,749.20"
Apr-19,"12,785.80","12,785.20"
May-19,"12,813.00","12,791.80"
Jun-19,"12,836.50","12,804.50"
Jul-19,"12,855.00","12,833.20"
Aug-19,"12,868.40","12,883.90"
Sep-19,"12,878.20","12,902.90"
Oct-19,"12,887.80","12,854.80"
Nov-19,"12,898.70","12,874.10"
Dec-19,"12,909.90","12,928.80"
Jan-20,"12,918.20","12,929.30"
Feb-20,"12,922.10","12,936.80"
Mar-20,"12,922.10","12,926.40"
Apr-20,,"12,346.20"
May-20,,"12,050.40"
Jun-20,,"12,279.70"
Jul-20,,"12,412.20"
Aug-20,,"12,552.70"
Sep-20,,"12,519.90"
Oct-20,,"12,660.10"
Nov-20,,"12,742.10"
Dec-20,,"12,802.80"
Jan-21,,"12,842.90"
Feb-21,,"12,889.30"
Mar-21,,"12,955.40"
Apr-21,,"12,947.00"
May-21,,"13,035.10"
Jun-21,,"13,060.10"
Jul-21,,"13,080.80"
Aug-21,,"12,952.00"
Sep-21,,"12,827.60"
Oct-21,,"12,781.40"
Nov-21,,"13,143.50"
Dec-21,,"13,224.80"
Jan-22,,"13,300.80"
Feb-22,,"13,357.70"
Mar-22,,"13,392.60"
Apr-22,"13,467.00","13,447.20"
May-22,"13,523.70","13,481.90"
Jun-22,"13,575.20","13,584.70"
Jul-22,"13,620.50","13,590.30"
Aug-22,"13,658.30","13,664.50"
Sep-22,"13,688.20","13,674.60"
Oct-22,"13,713.50","13,716.90"
Nov-22,"13,739.10","13,779.80"
Dec-22,"13,769.90","13,762.80"
Jan-23,"13,808.30","13,796.20"
Feb-23,"13,853.00","13,832.70"
Mar-23,"13,900.20","13,935.60"
Apr-23,"13,945.80","13,922.90"
May-23,"13,987.40","14,008.80"
Jun-23,"14,024.60","14,031.90"
Jul-23,"14,059.30","14,026.10"
Aug-23,"14,090.80","14,099.10"
Sep-23,"14,119.10","14,096.50"
Oct-23,"14,144.50","14,155.50"
Nov-23,"14,166.40","14,197.60"
Dec-23,"14,185.50","14,132.90"
Jan-24,"14,201.90","14,126.60"
Feb-24,"14,219.80","14,249.80"
Mar-24,"14,242.10","14,237.00"
Apr-24,"14,269.80","14,256.40"
May-24,"14,301.40","14,286.60"
Jun-24,"14,334.70","14,325.40"
Jul-24,"14,367.60","14,375.10"
Aug-24,"14,400.90","14,408.30"
Sep-24,"14,433.50","14,449.70"
Oct-24,"14,462.10","14,449.50"
Nov-24,"14,487.30","14,462.70"
Dec-24,"14,510.20","14,524.10"
Jan-25,"14,531.80","14,553.30"
Feb-25,"14,551.10","14,491.30"
Mar-25,"14,567.20","14,511.10"
Apr-25,"14,580.30","14,602.50"
May-25,"14,591.00","14,602.00"
Jun-25,"14,601.40","14,603.40"
Jul-25,"14,612.50","14,637.10"
Aug-25,"14,627.20","14,625.30"
Sep-25,"14,647.00","14,640.20"
