"Employment-to-population ratio, Seasonally adjusted",,,
,People (%),Males (%),Females (%)
Sep-15,61,66.6,55.6
Oct-15,61.3,66.9,55.9
Nov-15,61.4,66.9,56.1
Dec-15,61.4,67,56.1
Jan-16,61.3,67,55.9
Feb-16,61.3,66.8,56
Mar-16,61.3,66.8,56
Apr-16,61.2,66.6,56
May-16,61.1,66.6,55.8
Jun-16,61.2,66.6,56
Jul-16,61.2,66.7,56
Aug-16,61,66.4,55.7
Sep-16,60.8,66.1,55.7
Oct-16,60.8,66.2,55.7
Nov-16,60.9,66.2,55.8
Dec-16,61,66.3,55.8
Jan-17,60.9,66.1,55.9
Feb-17,60.7,66,55.6
Mar-17,60.9,66.1,55.9
Apr-17,61.1,66.6,55.9
May-17,61.2,66.4,56.2
Jun-17,61.3,66.4,56.4
Jul-17,61.4,66.6,56.4
Aug-17,61.6,66.6,56.7
Sep-17,61.7,66.6,56.9
Oct-17,61.6,66.6,56.9
Nov-17,61.8,66.7,57
Dec-17,61.9,66.7,57.3
Jan-18,61.9,66.9,57.1
Feb-18,61.8,66.7,57.1
Mar-18,61.8,66.5,57.2
Apr-18,61.8,66.6,57.1
May-18,61.7,66.6,56.9
Jun-18,61.9,66.8,57.3
Jul-18,61.8,66.9,57
Aug-18,62.1,67.2,57.2
Sep-18,62.1,67.1,57.2
Oct-18,62.1,67,57.3
Nov-18,62.1,67,57.4
Dec-18,62.2,67.2,57.4
Jan-19,62.3,67.2,57.5
Feb-19,62.3,67.1,57.6
Mar-19,62.2,67.1,57.5
Apr-19,62.4,67.1,57.8
May-19,62.3,67.4,57.4
Jun-19,62.3,67.3,57.5
Jul-19,62.4,67.3,57.6
Aug-19,62.5,67.3,57.9
Sep-19,62.5,67.1,58.1
Oct-19,62.2,66.7,57.9
Nov-19,62.2,66.7,57.9
Dec-19,62.4,66.9,58.1
Jan-20,62.3,66.6,58.2
Feb-20,62.3,66.6,58.1
Mar-20,62.1,66.5,57.9
Apr-20,59.3,63.9,54.9
May-20,57.9,62.7,53.2
Jun-20,59,63.5,54.5
Jul-20,59.6,64.2,55.2
Aug-20,60.3,64.6,56.1
Sep-20,60.1,64.4,56
Oct-20,60.8,65.4,56.4
Nov-20,61.2,65.7,56.8
Dec-20,61.5,65.9,57.2
Jan-21,61.7,66.3,57.2
Feb-21,61.9,66.1,57.7
Mar-21,62.2,66.3,58.1
Apr-21,62.1,66.4,57.9
May-21,62.5,66.6,58.5
Jun-21,62.6,66.9,58.4
Jul-21,62.6,67.1,58.3
Aug-21,62,66.4,57.8
Sep-21,61.4,65.9,57
Oct-21,61.1,65.7,56.7
Nov-21,62.8,66.9,58.7
Dec-21,63.1,67.4,59
Jan-22,63.3,67.2,59.6
Feb-22,63.5,67.4,59.7
Mar-22,63.5,67.5,59.7
Apr-22,63.7,67.7,59.8
May-22,63.7,67.9,59.7
Jun-22,64.1,68.1,60.2
Jul-22,64,68,60.1
Aug-22,64.2,68.2,60.3
Sep-22,64.1,68.3,60.1
Oct-22,64.1,68.3,60.1
Nov-22,64.3,68.3,60.4
Dec-22,64.1,68.2,60.1
Jan-23,64,68.2,60
Feb-23,64,68.2,60
Mar-23,64.3,68.3,60.4
Apr-23,64.1,68,60.3
May-23,64.3,68.3,60.5
Jun-23,64.3,68.3,60.4
Jul-23,64.1,68.2,60.1
Aug-23,64.3,68.4,60.3
Sep-23,64.1,67.9,60.4
Oct-23,64.3,68,60.6
Nov-23,64.3,68.1,60.7
Dec-23,63.9,67.7,60.2
Jan-24,63.8,67.6,60.1
Feb-24,64.2,68,60.5
Mar-24,64,67.9,60.1
Apr-24,64,67.8,60.3
May-24,64,68,60.2
Jun-24,64.1,68.1,60.3
Jul-24,64.3,68,60.6
Aug-24,64.3,68.1,60.6
Sep-24,64.4,68.4,60.5
Oct-24,64.3,68.3,60.4
Nov-24,64.3,68.2,60.5
Dec-24,64.4,68.5,60.5
Jan-25,64.4,68.2,60.8
Feb-25,64,67.8,60.4
Mar-25,64,67.9,60.2
Apr-25,64.3,68,60.8
May-25,64.2,67.7,60.8
Jun-25,64.1,67.8,60.6
Jul-25,64.2,67.6,60.9
Aug-25,64,67.5,60.6
Sep-25,64,67.5,60.6
