Monthly hours worked in all jobs,,
,Trend (m),Seasonally adjusted (m)
Sep-15,"1,643.40","1,645.40"
Oct-15,"1,647.80","1,651.90"
Nov-15,"1,651.80","1,650.50"
Dec-15,"1,654.70","1,650.00"
Jan-16,"1,656.30","1,660.80"
Feb-16,"1,656.60","1,661.20"
Mar-16,"1,656.30","1,654.50"
Apr-16,"1,655.80","1,626.10"
May-16,"1,655.40","1,660.60"
Jun-16,"1,655.20","1,655.30"
Jul-16,"1,655.70","1,658.90"
Aug-16,"1,657.30","1,660.40"
Sep-16,"1,659.70","1,656.60"
Oct-16,"1,662.80","1,660.40"
Nov-16,"1,666.30","1,664.90"
Dec-16,"1,669.70","1,674.40"
Jan-17,"1,672.80","1,705.30"
Feb-17,"1,676.00","1,660.50"
Mar-17,"1,679.70","1,678.00"
Apr-17,"1,684.30","1,665.30"
May-17,"1,689.60","1,712.00"
Jun-17,"1,695.50","1,708.50"
Jul-17,"1,701.50","1,699.60"
Aug-17,"1,707.00","1,703.10"
Sep-17,"1,711.80","1,712.40"
Oct-17,"1,715.50","1,713.20"
Nov-17,"1,718.30","1,728.20"
Dec-17,"1,720.30","1,719.60"
Jan-18,"1,721.70","1,714.50"
Feb-18,"1,722.90","1,719.90"
Mar-18,"1,724.70","1,721.30"
Apr-18,"1,727.30","1,734.60"
May-18,"1,730.40","1,727.40"
Jun-18,"1,733.70","1,735.90"
Jul-18,"1,736.50","1,736.50"
Aug-18,"1,738.70","1,738.10"
Sep-18,"1,740.80","1,740.50"
Oct-18,"1,743.50","1,745.80"
Nov-18,"1,747.50","1,748.50"
Dec-18,"1,752.60","1,744.00"
Jan-19,"1,758.00","1,762.60"
Feb-19,"1,762.40","1,765.00"
Mar-19,"1,765.10","1,773.60"
Apr-19,"1,766.20","1,767.10"
May-19,"1,766.00","1,760.10"
Jun-19,"1,765.40","1,762.40"
Jul-19,"1,765.50","1,766.30"
Aug-19,"1,767.20","1,770.70"
Sep-19,"1,770.10","1,771.80"
Oct-19,"1,773.20","1,768.30"
Nov-19,"1,775.10","1,772.70"
Dec-19,"1,774.60","1,782.70"
Jan-20,"1,771.50","1,778.30"
Feb-20,"1,767.00","1,768.10"
Mar-20,"1,763.50","1,760.80"
Apr-20,,"1,579.90"
May-20,,"1,595.10"
Jun-20,,"1,658.30"
Jul-20,,"1,677.10"
Aug-20,,"1,680.70"
Sep-20,,"1,680.10"
Oct-20,,"1,702.30"
Nov-20,,"1,746.90"
Dec-20,,"1,741.80"
Jan-21,,"1,728.30"
Feb-21,,"1,746.70"
Mar-21,,"1,794.80"
Apr-21,,"1,764.80"
May-21,,"1,798.00"
Jun-21,,"1,770.20"
Jul-21,,"1,770.00"
Aug-21,,"1,699.50"
Sep-21,,"1,720.20"
Oct-21,,"1,720.20"
Nov-21,,"1,788.80"
Dec-21,,"1,820.60"
Jan-22,,"1,738.90"
Feb-22,,"1,811.40"
Mar-22,,"1,810.80"
Apr-22,"1,832.10","1,820.50"
May-22,"1,839.00","1,844.10"
Jun-22,"1,847.60","1,850.50"
Jul-22,"1,857.40","1,846.60"
Aug-22,"1,867.50","1,868.60"
Sep-22,"1,877.40","1,871.20"
Oct-22,"1,887.30","1,897.80"
Nov-22,"1,896.90","1,900.60"
Dec-22,"1,905.90","1,899.10"
Jan-23,"1,914.00","1,916.50"
Feb-23,"1,921.70","1,918.80"
Mar-23,"1,928.70","1,931.70"
Apr-23,"1,934.10","1,973.80"
May-23,"1,937.10","1,935.50"
Jun-23,"1,936.80","1,939.70"
Jul-23,"1,934.00","1,939.50"
Aug-23,"1,929.20","1,927.70"
Sep-23,"1,923.40","1,919.20"
Oct-23,"1,918.10","1,920.30"
Nov-23,"1,915.40","1,918.00"
Dec-23,"1,916.30","1,911.50"
Jan-24,"1,920.40","1,914.80"
Feb-24,"1,926.10","1,925.70"
Mar-24,"1,932.00","1,952.20"
Apr-24,"1,937.00","1,946.50"
May-24,"1,940.80","1,934.70"
Jun-24,"1,943.60","1,939.70"
Jul-24,"1,946.70","1,944.60"
Aug-24,"1,951.50","1,956.90"
Sep-24,"1,958.00","1,958.80"
Oct-24,"1,965.10","1,960.40"
Nov-24,"1,970.40","1,969.40"
Dec-24,"1,973.50","1,979.50"
Jan-25,"1,975.00","1,982.00"
Feb-25,"1,975.90","1,974.30"
Mar-25,"1,976.90","1,968.00"
Apr-25,"1,978.50","1,970.70"
May-25,"1,980.70","1,997.20"
Jun-25,"1,983.00","1,978.70"
Jul-25,"1,984.60","1,985.10"
Aug-25,"1,985.70","1,977.40"
Sep-25,"1,986.70","1,986.80"
